site,month,month,date,time_start,time_end,dolphins_best,calves_best,every20mins,echo,bp,whistle,total,noise,fish calls,distance,season
Confluence,April,4,4/19/18,10:29,10:35,2,0,10:40,0,0,0,0,1,2,1593.370679,Spring
Confluence,April,4,4/19/18,10:38,10:55,2,1,11:00,0,0,0,0,1,2,-1,Spring
Confluence,April,4,4/26/18,11:52,12:03,7,2,12:00,0,0,0,0,1,2,452.9409805,Spring
Confluence,April,4,4/26/18,12:10,12:23,5,0,12:20,0,0,0,0,1,3,989.0028505,Spring
Confluence,May,5,5/8/18,9:40,9:44,2,1,9:40,4,0,2,6,1,3,1532.586777,Spring
Confluence,May,5,5/8/18,10:00,10:11,2,1,10:00,0,0,0,0,1,2,27.71592123,Spring
Confluence,May,5,5/17/18,10:30,10:47,6,1,10:40,0,0,0,0,1,3,1060.367114,Spring
Confluence,June,6,6/7/18,11:47,11:53,2,0,12:00,0,0,0,0,1,0,-1,Spring
Confluence,June,6,6/7/18,12:09,12:18,6,1,12:20,18,0,1,19,1,2,870.1570573,Spring
Confluence,June,6,6/21/18,13:06,13:11,1,0,13:00,0,0,0,0,1,0,739.9510529,Summer
Confluence,June,6,6/21/18,13:19,13:22,4,2,13:20,0,0,0,0,1,2,934.6079818,Summer
Confluence,August,8,8/7/18,13:01,13:14,7,3,13:00,0,0,0,0,1,0,985.181991,Summer
Confluence,August,8,8/21/18,13:02,13:09,1,0,13:00,0,0,0,0,1,2,1377.926036,Summer
Confluence,August,8,8/21/18,13:20,13:40,5,2,13:40,0,0,0,0,1,2,699.1428388,Summer
Confluence,September,9,9/19/18,11:43,11:51,3,0,11:40,2,0,0,2,1,3,1779.425278,Summer
Confluence,September,9,9/26/18,10:09,10:27,6,3,10:20,0,0,0,0,1,0,1110.342397,Fall
Confluence,October,10,10/3/18,8:33,8:39,2,0,8:20,2,0,0,2,1,2,1403.486844,Fall
Confluence,October,10,10/3/18,8:45,8:53,2,0,8:40,0,0,0,0,1,2,1082.23905,Fall
Confluence,October,10,10/3/18,8:56,9:08,8,2,9:00,0,0,0,0,1,0,1234.017577,Fall
Confluence,October,10,10/17/18,10:46,,1,0,10:40,0,0,0,0,1,0,1177.733874,Fall
Confluence,October,10,10/31/18,9:34,9:36,2,1,9:20,14,2,0,16,1,0,1158.628737,Fall
Confluence,October,10,10/31/18,9:48,9:52,2,1,9:40,19,0,0,19,1,0,1372.737899,Fall
Confluence,October,10,10/31/18,10:02,10:06,3,1,10:00,6,0,0,6,1,0,1011.042061,Fall
Confluence,October,10,10/31/18,10:10,10:17,8,1,10:20,0,0,0,0,1,0,581.3274155,Fall
Confluence,November,11,11/28/18,13:10,13:17,4,1,13:20,16,0,0,16,1,0,1729.158711,Fall
Confluence,November,11,11/28/18,13:35,13:43,1,0,13:40,27,0,0,27,1,0,482.152162,Fall
Confluence,December,12,12/7/18,10:49,10:56,1,0,11:00,0,0,0,0,1,0,1108.401675,Fall
Confluence,December,12,12/7/18,11:10,11:14,1,0,11:20,0,0,0,0,1,0,1792.375788,Fall
Confluence,December,12,12/7/18,11:26,11:39,2,0,11:40,3,0,0,3,1,0,1033.003426,Fall
Confluence,December,12,12/12/18,9:34,9:41,1,0,9:40,12,0,0,12,1,0,1587.952103,Fall
Confluence,December,12,12/12/18,9:47,10:05,2,1,10:00,0,0,0,0,0,0,1543.326123,Fall
Confluence,December,12,12/12/18,10:10,10:16,2,1,10:20,8,0,0,8,1,0,1281.847252,Fall
Confluence,January,1,1/8/19,13:16,13:24,3,0,13:20,15,0,0,15,1,2,761.9079016,Winter
Confluence,January,1,1/8/19,13:46,13:51,1,0,13:40,1,17,13,31,1,0,1251.310596,Winter
Confluence,January,1,1/25/19,11:39,11:59,4,1,12:00,0,0,0,0,1,0,1173.194528,Winter
Confluence,January,1,1/25/19,12:27,12:39,2,0,12:40,0,0,0,0,1,2,499.9514112,Winter
Confluence,February,2,2/5/19,10:59,,3,1,11:00,0,0,26,26,1,0,942.9358422,Winter
Confluence,February,2,2/5/19,11:19,11:27,3,1,11:20,7,1,3,11,1,0,54.77002474,Winter
Confluence,February,2,2/5/19,11:37,11:40,1,0,11:40,1,0,0,1,1,0,756.4072512,Winter
Confluence,March,3,3/5/19,12:15,12:24,2,1,12:20,0,0,0,0,1,0,1350.902818,Winter
Confluence,March,3,3/5/19,12:35,12:49,2,1,12:40,0,0,0,0,1,0,1232.714192,Winter
Confluence,March,3,3/21/19,9:53,10:01,2,1,10:00,13,0,0,13,1,2,502.4702218,Spring
Confluence,April,4,4/4/19,12:57,13:21,4,0,13:20,0,0,0,0,1,2,1740.526152,Spring
Confluence,April,4,4/4/19,13:30,13:33,2,0,13:40,0,0,8,8,1,0,864.4737408,Spring
Confluence,April,4,4/16/19,9:25,9:33,1,0,9:20,1,0,0,1,1,3,1751.071298,Spring
Confluence,April,4,4/16/19,9:36,9:57,6,1,10:00,0,0,0,0,0,0,1152.76316,Spring
Confluence,May,5,5/23/19,10:38,10:59,4,1,11:00,0,0,0,0,0,2,1114.158955,Spring
Mouth,December,12,12/19/17,8:14,8:30,3,0,8:20,0,0,1,1,1,1,1431.175016,Fall
Mouth,December,12,12/19/17,8:36,8:43,2,1,8:40,0,0,2,2,1,1,1491.780217,Fall
Mouth,December,12,12/19/17,8:52,8:57,2,1,9:00,12,0,0,12,0,0,528.9209577,Fall
Mouth,January,1,1/25/18,14:07,14:12,3,1,14:00,0,0,0,0,1,0,1378.171409,Winter
Mouth,January,1,1/25/18,14:16,14:21,2,0,14:20,6,3,0,9,1,0,1248.787093,Winter
Mouth,February,2,2/6/18,8:16,8:21,1,0,8:20,2,0,2,4,1,0,621.0234449,Winter
Mouth,February,2,2/6/18,8:26,8:37,2,1,8:40,2,3,1,6,1,0,873.4384555,Winter
Mouth,February,2,2/6/18,8:44,8:58,3,0,9:00,0,0,0,0,1,0,1001.832784,Winter
Mouth,February,2,2/6/18,9:01,9:07,3,0,9:20,0,0,0,0,1,0,763.3326526,Winter
Mouth,February,2,2/15/18,8:12,8:18,1,0,8:20,0,0,1,1,1,0,1028.586849,Winter
