site,month,date,time_start,time_end,time,dolphins_best,adults_best,calves_best,every20mins,echo,bp,whistle,total,noise,season,perch,toadfish,strout,rdrum
Confluence,December,12/12/18,9:34,9:41,0:07,1,1,0,9:40,12,0,0,12,1,Fall,0,0,0,0
Confluence,December,12/12/18,9:47,10:05,0:18,2,1,1,10:00,0,0,0,0,0,Fall,0,0,0,0
Confluence,December,12/12/18,10:10,10:16,0:06,2,1,1,10:20,8,0,0,8,1,Fall,0,0,0,0
Mouth,December,12/12/18,11:55,12:16,0:21,7,5,2,12:00,0,0,0,0,1,Fall,0,0,0,0
Terminal,December,12/12/18,8:37,9:27,0:50,0,0,0,9:00,1,0,0,1,1,Fall,0,0,0,0
Aquarium,March,3/27/18,14:48,15:06,0:18,4,2,2,15:00,0,0,0,0,1,Spring,0,0,0,0
Ashley1,March,3/27/18,11:21,11:25,0:04,2,2,0,11:20,0,0,0,0,1,Spring,0,0,0,0
Ashley1,March,3/27/18,11:50,11:55,0:05,1,1,0,12:00,0,0,0,0,1,Spring,0,0,0,0
Ashley2,March,3/27/18,10:07,10:23,0:16,1,1,0,10:00,0,0,0,0,0,Spring,0,0,0,0
Confluence,March,3/27/18,13:28,13:33,0:05,1,0,1,13:20,0,0,9,9,1,Spring,0,2,0,0
Confluence,March,3/27/18,13:45,14:03,0:18,5,3,2,14:00,0,0,0,0,1,Spring,0,2,0,0
Confluence,March,3/27/18,14:20,14:29,0:09,4,3,1,14:20,0,0,2,2,1,Spring,0,2,0,0
Confluence,March,3/27/18,14:30,14:39,0:09,2,2,0,14:40,0,0,3,3,1,Spring,0,0,0,0
Mouth,March,3/27/18,8:35,8:42,0:07,3,3,0,8:40,0,0,0,0,1,Spring,0,2,0,0
Mouth,March,3/27/18,8:49,9:07,0:18,5,5,0,9:00,0,0,0,0,0,Spring,0,2,0,0
Mouth,March,3/27/18,9:10,9:24,0:14,3,3,0,9:20,0,0,0,0,1,Spring,0,2,0,0
Terminal,March,3/27/18,12:27,12:41,0:14,4,4,0,12:40,0,0,0,0,1,Spring,0,2,0,0
Terminal,March,3/27/18,12:49,12:58,0:09,2,2,0,13:00,0,0,0,0,1,Spring,0,2,0,0
Terminal,March,3/27/18,13:08,13:17,0:09,5,5,0,13:20,4,0,0,4,1,Spring,0,0,0,0
Aquarium,April,4/19/18,9:16,9:23,0:07,1,1,0,9:20,25,7,2,34,1,Spring,0,2,0,0
Aquarium,April,4/19/18,10:04,10:14,0:10,5,5,0,10:00,10,0,0,10,1,Spring,0,0,0,0
Ashley1,April,4/19/18,12:58,13:13,0:15,5,4,1,13:00,0,0,0,0,1,Spring,2,2,0,0
Ashley1,April,4/19/18,13:25,13:30,0:05,2,2,0,13:20,0,0,0,0,1,Spring,0,2,0,0
Ashley1,April,4/19/18,13:41,13:45,0:04,2,2,0,13:40,0,0,0,0,0,Spring,2,2,0,0
Ashley2,April,4/19/18,14:04,14:54,0:50,0,0,0,14:00,0,0,0,0,1,Spring,0,0,0,0
Confluence,April,4/19/18,10:29,10:35,0:06,2,2,0,10:40,0,0,0,0,1,Spring,0,2,0,0
Confluence,April,4/19/18,10:38,10:55,0:17,2,1,1,11:00,0,0,0,0,1,Spring,0,2,0,0
Mouth,April,4/19/18,8:45,8:54,0:09,6,5,1,9:00,0,0,0,0,1,Spring,0,0,0,0
Terminal,April,4/19/18,11:31,11:46,0:15,2,2,0,11:40,0,0,0,0,1,Spring,0,2,0,0
Terminal,April,4/19/18,12:07,12:27,0:20,5,3,2,12:20,1,0,0,1,1,Spring,0,2,0,0
Aquarium,April,4/26/18,11:06,11:29,0:23,10,8,2,11:20,15,0,0,15,1,Spring,0,2,0,0
Aquarium,April,4/26/18,10:52,11:02,0:10,1,1,0,11:00,0,0,0,0,1,Spring,0,0,0,0
Ashley1,April,4/26/18,8:48,8:56,0:08,1,1,0,9:00,0,0,0,0,1,Spring,0,2,0,0
Ashley1,April,4/26/18,9:07,9:17,0:10,3,2,1,9:20,0,0,0,0,1,Spring,0,2,0,0
Ashley2,April,4/26/18,9:33,9:48,0:15,1,1,0,9:40,0,0,0,0,0,Spring,0,1,0,0
Confluence,April,4/26/18,11:52,12:03,0:11,7,5,2,12:00,0,0,0,0,1,Spring,0,2,0,0
Confluence,April,4/26/18,12:10,12:23,0:13,5,5,0,12:20,0,0,0,0,1,Spring,2,3,0,0
Mouth,April,4/26/18,14:19,14:45,0:26,10,8,2,14:20,0,0,0,0,1,Spring,2,2,0,0
Terminal,April,4/26/18,12:44,13:14,0:30,5,3,2,12:40,0,0,0,0,1,Spring,0,2,0,0
Aquarium,May,5/8/18,10:34,10:43,0:09,3,3,0,10:40,0,0,0,0,1,Spring,0,2,2,0
Aquarium,May,5/8/18,11:00,11:08,0:08,3,3,0,11:00,0,0,0,0,1,Spring,0,2,0,0
Aquarium,May,5/8/18,11:14,11:18,0:04,2,1,1,11:20,0,0,0,0,1,Spring,0,2,2,0
Ashley1,May,5/8/18,12:43,12:48,0:05,1,1,0,12:40,0,0,0,0,1,Spring,0,2,0,0
Ashley2,May,5/8/18,11:44,11:49,0:05,2,2,0,11:40,0,0,0,0,0,Spring,0,2,0,0
Ashley2,May,5/8/18,11:57,12:04,0:07,4,2,2,12:00,0,0,0,0,0,Spring,0,2,2,0
Confluence,May,5/8/18,9:40,9:44,0:04,2,1,1,9:40,4,0,2,6,1,Spring,0,3,0,0
Confluence,May,5/8/18,10:00,10:11,0:11,2,1,1,10:00,0,0,0,0,1,Spring,0,2,0,0
Mouth,May,5/8/18,14:28,14:43,0:15,9,7,2,14:40,0,0,0,0,1,Spring,0,2,0,0
Terminal,May,5/8/18,8:34,8:46,0:12,10,7,3,8:40,0,0,7,7,1,Spring,0,2,0,0
Terminal,May,5/8/18,9:07,9:15,0:08,1,1,0,9:00,0,0,0,0,0,Spring,0,2,0,0
Terminal,May,5/8/18,9:18,9:27,0:09,6,4,2,9:20,0,0,0,0,1,Spring,0,2,0,0
Aquarium,May,5/17/18,11:09,11:59,0:50,0,0,0,12:00,0,0,0,0,1,Spring,0,0,0,0
Ashley1,May,5/17/18,12:08,12:58,0:50,0,0,0,13:00,0,0,0,0,1,Spring,0,2,0,0
Ashley2,May,5/17/18,12:59,13:49,0:50,0,0,0,14:00,0,0,0,0,0,Spring,0,2,0,0
Confluence,May,5/17/18,10:30,10:47,0:17,6,5,1,10:40,0,0,0,0,1,Spring,0,3,0,0
Mouth,May,5/17/18,8:22,8:30,0:08,1,1,0,8:20,0,0,0,0,0,Spring,2,2,0,0
Terminal,May,5/17/18,9:21,9:29,0:08,4,3,1,9:20,0,0,0,0,1,Spring,0,3,0,0
Terminal,May,5/17/18,9:35,9:47,0:12,3,2,1,9:40,0,1,0,1,1,Spring,0,2,0,0
Terminal,May,5/17/18,9:58,9:59,0:01,1,1,0,10:00,0,0,0,0,1,Spring,0,2,0,0
